Character|zh-CN
Nanoka|……这不是你自己刚才也在说的吗。
Coco|该不会是想太多事情，把脑子都想发烧了吧～？
Ema|（我才没发烧呢……！）
Ema|（声音确实是从仓库方向传来的……）
Ema|（在我们已经发现的证物中，有没有什么线索呢……？）
Ema|就是……仓库里找到的火柴和鞭炮！既然还剩下这么多，就说明鞭炮根本没有被使用过……！
Alisa|这种推理也太牵强了吧，又不是全新未拆封的。我也有蜡烛啊……
Alisa|少几个不是很正常。
Coco|艾玛亲是不是掌握了什么内幕啊？好可疑～
Ema|（受到怀疑了……！）
Ema|（在仓库发现的物品中，一定还有其他证据……！）
Ema|（在我们已经发现的证物中，有没有什么线索呢……？）
Alisa|这什么都证明不了吧。
Margo|……也就是说，目前我们没有任何确凿的证据。这样理解没错吧？
Coco|艾玛亲也好没用～
Ema|（被当成没用的人了……！）
Ema|（在我们已经发现的证物中，有没有什么线索呢……？）
Ema|深夜响起的【爆裂声】……我觉得那其实就是【枪声】！
Alisa|枪声……确实，如果是枪响的话，倒是和我听见的声音很像。
Sherry|这种爆裂声确实不是什么常见的声响呢！
Ema|而且在声音传来的方向……也就是在仓库里，确实发现了枪支开火留下的痕迹。
Ema|而开枪的人，毫无疑问就是……
Alisa|……我想大家应该都明白，不可能是那个人吧。
Alisa|……你不会是在毫无根据地乱猜吧？
Ema|（看来我弄错了……！）
Ema|（开枪的人……一定是她没错！）
Ema|亚里沙，就是你！
Alisa|怎么推导出的结论啊！我可是亲耳听到枪声的当事人啊！
Coco|也就是说艾玛亲认为，这是太妹自导自演的一场戏咯？
Alisa|开什么玩笑！我有什么理由要做这种事啊！而且我根本就没有枪！
Alisa|樱羽……说话之前给我先认真思考一下！
Ema|对不起，亚里沙……！
Ema|（开枪的人……一定是她没错！）
Ema|是我！我开的枪！
Meruru|欸、欸欸……！？艾玛小姐你说真的吗……？
Coco|啊——说起来，艾玛亲最近确实行迹可疑呢。
Margo|虽然不明白你为什么要突然承认……但能详细解释一下吗？
Ema|呃，那个，不是，可能确实不是我……
Alisa|现在想要收回前言……反而更招人怀疑了。
Ema|（失去大家的信任了……！）
Ema|（为了洗清自己的嫌疑，必须要找出真正的开枪者才行！）
Ema|（开枪的人……一定是她没错！）
Ema|奈叶香……是你开的枪吧。
Nanoka|……是的。我承认。
Alisa|你、你竟然开枪了……！？
Alisa|为什么要在深夜开枪啊……！难道你又想要伤害谁吗……！
Nanoka|我本来就没打算隐瞒这件事。只是——
Nanoka|——我想要确认究竟是谁在袭击我。
Alisa|……【袭击】？你的意思是有人袭击你？
Nanoka|没错。
Nanoka|……有人趁着夜色在仓库里鬼鬼祟祟地翻找东西。我察觉到动静后就醒了，但是……
Nanoka|我被对方发现了……然后那个人就突然向我发起了攻击。
Nanoka|所以我反击了。仅此而已。与这次的案件完全无关。
Coco|真的～？你该不会在隐瞒什么见不得人的事情吧？
Sherry|不可能！奈叶香说的每一句话都是真的！
Margo|哎呀，雪莉。看来你是知道些内情呢？
Sherry|是的！当然知道！
Sherry|因为那天晚上袭击奈叶香的人，就是我！！
Alisa|……哈？
Sherry|昨晚，我去了奈叶香藏身的仓库。
Sherry|毕竟让她带着枪的话，说不定又会发生杀人案呢！作为一名侦探，预防犯罪也是我的职责！
Nanoka|你怎么能这么多管闲事……！
Sherry|好啦好啦！没关系嘛！反正这件事跟案件无关！
Nanoka|我因为那时的伤，现在右手都还不能动啊……！？
Meruru|欸欸……！？你、你没事吧……！？我待会就帮你治疗……！
Sherry|我的左脚也动不了，彼此彼此啦！
Coco|干脆就认定这家伙是凶手算了吧……？
Sherry|没有那回事啦！我也没办法突破密室啊～！
Margo|确实，如果解决不了这个密室问题，不只是雪莉，任何人都不可能作案。
Coco|那会不会是这个怪力大猩猩破坏了门锁，然后在天亮前修好了？
Coco|说来……不是说在【2点】听到很大的响声吗。那一定就是破坏门的声音！
Alisa|可是外行人修锁，怎么都会露出马脚的吧……
Coco|那大小姐到底是怎么死的啊！
Margo|火精之室会不会有暗道呢？如果是汉娜通过暗道潜入的话，一切就说得通了。
Margo|而且也没有发现除汉娜外的任何人进入招待所的痕迹。
Alisa|虽然那房间里确实没发现什么……可是她真的会自杀吗……
Ema|（雪莉居然在深夜和奈叶香发生冲突……！你到底在做什么啊，雪莉……！）
Ema|（话说回来，真的没有任何人能进入招待所吗……？）
Ema|（我们会不会忽略了什么线索……）
Choice|门锁被破坏了
|返回
Choice|在天亮前修好了
Choice|有不会被发现的方法
Choice|有联通火精之室的暗道
Choice|有进入的痕迹
Ema|……以雪莉的怪力，破坏门锁应该不是什么难事吧？
Sherry|我怎么会做这种野蛮的事情～！
Sherry|而且，如果门锁被破坏过的话，一定会留下什么痕迹才对吧？
Alisa|我没发现有什么痕迹。
Margo|虽然我能想到【通过纵火产生的高温令门锁变形损坏】的手法……
Margo|但火势根本就没有蔓延到那种程度，这种可能性显然也可以排除了。
Nanoka|那么，看来不太可能有人破坏门锁呢。
Sherry|真是的～艾玛，不要随便怀疑我啦～
Ema|（被笑着骂了一顿……！）
Ema|（如果真的有凶手的话，一定会留下什么痕迹才对……）
Ema|（除了案发现场……周围是否还存在什么【反常的地方】呢……？）
Ema|（我要放宽视野，重新好好思考……！）
Ema|也许可可说得对，有人在破坏门锁之后，在天亮前想办法修好了……
Nanoka|……假设是这样好了，具体要怎么修复呢。
Nanoka|那可是金属制的锁具。外行不可能轻易完成这种修复工作。
Ema|那个就是……比如焊接之类的……！亚里沙用她的魔法把它修好了！
Alisa|什么……！别开玩笑了！我怎么可能做那种事！
Nanoka|……先不论会不会做这种事，如果经过焊接，必然会留下焊接的痕迹。
Nanoka|但别说修理的痕迹了，连破坏的痕迹都没有，门锁上应该也没有什么特别的机关。
Alisa|你这完全是在胡乱猜测啊……！想打架的话我随时奉陪，樱羽！
Ema|（好像惹怒亚里沙了……！）
Ema|（如果锁确实没有被动过手脚的话，凶手究竟是如何进入那个密室的呢？）
Ema|（除了案发现场……周围是否还存在什么【反常的地方】呢……？）
Ema|（我要放宽视野，重新好好思考……！）
Ema|等一下。如果办法不会露出马脚呢？
Alisa|什么办法不会露出马脚？说清楚点。
Ema|就是那场火灾！
Ema|凶手是不是为了掩盖门被破坏的痕迹，才特意在招待所纵火的？
Margo|但是，火势很快就被控制住了哦。
Margo|如果真是这样，凶手的计划就已经失败了才对。那么，门上有任何被破坏的痕迹吗？
Ema|没有被破坏……
Sherry|总感觉越听艾玛的推理，就越找不到头绪了耶，真让人不安啊～……
Ema|（让大家不安了……！）
Ema|（除了案发现场……周围是否还存在什么【反常的地方】呢……？）
Ema|（我要放宽视野，重新好好思考……！）
Ema|对，就是这样！火精之室一定隐藏着暗道！
Coco|有什么具体的发现吗？
Sherry|神秘的暗道！真让人感兴趣！它在哪里呀，艾玛？
Ema|这、这个我也不太清楚……就是觉得【如果有的话就能说得通了】……
Coco|原来只是在瞎猜啊……
Alisa|我可是仔细搜查过整个房间，根本没发现任何类似的机关。
Nanoka|……推理要基于事实，而不是想像。
Ema|（被人教训了……！）
Ema|（那，凶手究竟是通过什么方法进入房间的呢……）
Ema|（除了案发现场……周围是否还存在什么【反常的地方】呢……？）
Ema|（我要放宽视野，重新好好思考……！）
Ema|……玛格，虽然我不确定这是否是凶手留下的痕迹，但我觉得还有其他没有讨论过的可疑之处。
Margo|哎呀？我还以为那个房间里已经再也没有其他线索了呢？
Ema|嗯，你说得对。也许【那个房间】里确实找不到什么痕迹……
Ema|但是，在整个【招待所】里确实留下了有人进入的证据……就是这个！
Nanoka|恐怕这并不足以证明有人进入过房间呢。
Margo|看来真的没有留下任何痕迹，不是吗？艾玛。
Alisa|……简直就是浪费时间。
Ema|（看来我弄错了……！）
Ema|（昨晚三间招待所的大门都被锁上了……）
Ema|（……但是，真的完全没有任何人出入过的蛛丝马迹吗……？）
Margo|那是……
Alisa|我的人偶……！？
Ema|没错。这个人偶是在地精之室被发现的。
Alisa|……哈！？
Ema|上面还沾着血迹……这就证明确实有人进入过那里——
Alisa|——那个人偶不可能会出现在那里……！
Ema|……欸？
Margo|那个人偶是我们昨天用来进行魔法实验的道具哦。
Margo|……地点就在火精之室。
Nanoka|……能请你详细说明一下这件事吗。
Alisa|嗯……我会说的。
Alisa|我们昨天用过这东西……就在那什么魔法大研讨上。
Margo|嗯，没错。那个人偶竟然出现在地精之室，的确很可疑。因为我们明明是把它放在火精之室的。
Sherry|昨晚招待所的每个房间都是完全密闭的状态才对。这么一来，难道这个人偶是穿越时空了？
Meruru|这样的话，值得考虑的可能性就是……【魔法】……对吗……？
Margo|【瞬间移动】、【穿墙术】、【隐身术】……如果能使用这些魔法，应该就能突破密室的限制吧？
Alisa|谁会用这些魔法啊！
Margo|谁知道呢？也许凶手根本就不在我们当中呢？
Margo|说不定是【外部人员】或者【幽灵】……也可能是昨天的实验召唤出了什么不祥之物呢？
Coco|这……开玩笑的吧……
Margo|如果不是这样的话，房间的状况就没办法解释了。
Nanoka|虽然我不否认超自然现象的存在，但如果没有证据表明发生了什么情况的话，我不会轻易接受这种说法。
Meruru|那么……不如换个角度，想想当时发生了什么现象？比如说……天气变化，或者风力的影响……
Alisa|远野怎么可能会死于自然现象……
Ema|（昨天玛格她们在进行魔法实验……虽然不清楚具体内容……但应该不会是什么降灵术之类的东西吧……？）
Ema|（虽然我不认为玛格她们三个人在说谎……）
Ema|（但昨晚到底发生了什么呢……看来有必要详细了解一下当时的情况）
Choice|能详细说说当时的情况吗？
|返回
Choice|凶手使出了瞬移
Choice|凶手可以穿墙
Choice|凶手可以隐身
Choice|有外部人员作案
Choice|召唤了恶灵
Choice|惹怒了精灵
Choice|房间的状况是指？
Choice|和声音有关
Choice|和震动有关
Choice|和高温有关
Ema|能详细说说当时放置亚里沙人偶的情况吗？
Margo|当然可以。
Margo|我们当时正在进行魔法实验，因为弄得有些晚，就准备回去了。
Alisa|结果……在离开的时候正好撞见了看守。
Alisa|我们以为偷偷进行实验的事情被发现，就赶紧逃出来了……
Margo|要是被抓去审问就糟了，所以我们只好匆忙把亚里沙的人偶塞进架子里，就离开了房间。
Margo|当时是想着，之后有机会再来取回。
Ema|也就是说……你们把人偶遗留在招待所里了？
Margo|是的，就是这样。
Margo|但是深夜期间招待所应该被锁上了才对……这就意味着，那个人偶是以某种方式穿越了密室。
Margo|……我的说明够清楚了吗？艾玛。
Ema|那房间的状况……具体是什么样的？
Margo|昨天晚上，我们离开房间的时候……是把房间收拾干净了才出去的。
Alisa|看守的监控录像里应该也有拍到吧？房间里的家具摆设都是整整齐齐的……
Margo|架子上的物品莫名其妙地掉在地上……如果不是闹鬼的话根本无法解释。
Margo|房间的状况就是这样。你明白了吗？艾玛。
Ema|也许真的有人掌握了瞬间移动魔法……！这样的话，亚里沙的人偶出现在地精之室也就说得通了……！
Ema|凶手一定是用同样的方法，把汉娜的尸体转移到火精之室的！
Coco|那你倒是说说，为什么要特意把那个太妹的人偶移到地精之室啊？
Ema|也许……只是单纯搞错了？
Sherry|那凶手还真是粗心大意耶！
Alisa|真有人能使用这么方便的魔法吗？你有什么头绪吗？
Ema|这个嘛，我们可以现在开始一起调查……
Nanoka|没有确凿证据的推测，终究无法抵达真实。没有讨论的价值。
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|凶手一定是能够穿墙而过！他正是这样杀害了汉娜，然后神不知鬼不觉地逃走了！
Nanoka|那么，请你解释一下，远野汉娜又是如何进入那个密室的呢。
Ema|这个……那个……
Nanoka|还有，为什么要特意把紫藤亚里沙的人偶转移到地精之室？这又有什么意义？
Nanoka|你提出这个推理，想必是有充分的依据吧。那么，能说说你的证据吗？
Ema|那个……这个……恐怕没法解释清楚……
Meruru|那、那个奈叶香小姐……！差、差不多可以收手了……！艾玛小姐也意识到自己考虑不周了……！
Nanoka|…………是吗，真令人遗憾。
Ema|（辜负了大家的期待……！）
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|凶手说不定能够隐身。
Sherry|就算能隐身，也没办法突破密室的限制吧？
Ema|也许是在看守锁门之前，趁玛格她们离开时偷偷溜进去的……
Alisa|那凶手要怎么从房间里出来啊？可别跟我说他刚好在门开的瞬间溜出来的。
Ema|……对不起。
Sherry|能老实道歉的你真的很棒！
Ema|（被表扬了……）
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|对啊！除了我们之外还有其他人！
Ema|杀害汉娜的一定是那个人。从一开始我们中间就根本没有什么杀人凶手！
Margo|……艾玛，我理解你为什么会这么想，可是从现实角度来看，这种可能性相当低。
Margo|除非有证据证明你看到了第三者。
Ema|也是……
Ema|（如果汉娜真的是被杀害的话，说到底凶手还是在我们之中……）
Ema|（虽然很痛苦，但必须要直面现实……！）
Ema|说不定是召唤出了恶灵……
Coco|什、什么恶灵啊……！
Ema|也许是曾经在这座监牢被处刑的女孩子。她们想要把活着的人带到另一边的世界，于是引诱汉娜走向死亡……
Coco|别、别找我啊！要找就找那边那个太妹啊！
Alisa|喂，为什么要把这种事赖到我头上啊！
Nanoka|……虽然我不否认这种说法，但你有什么证据吗？
Ema|对、对不起。没有什么证据……
Nanoka|…………是吗。
Ema|（好像害她无语了……！）
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|等一下。那三间招待所不是都以精灵的名字命名的吗？
Alisa|啊？这能跟案件扯上什么关系啊？
Ema|也许每间招待所都供奉着相应的精灵，汉娜可能无意中冒犯了它们……！
Alisa|那怎么可能！妄想也该有个限度吧！
Coco|辛苦你发中二病了。
Ema|（果然这种推理太不靠谱了……！）
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|声音……会不会和声音有关呢？亚里沙，你那天晚上确实听到了什么声音对吧？
Alisa|……啊，是听到了没错。
Ema|那会不会是发生了某种巨大的响声，而这道声音和汉娜的死亡有直接关联呢？
Alisa|具体说说看，这声音是怎么导致死亡的？
Ema|这个嘛，我们可以接下来再详细讨论……
Nanoka|……希望你能可以想清楚了再发言。
Ema|（看来我的考虑还不充分……！）
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|我想到了！汉娜会不会是被高温闷死的……！凶手把她关在密室里纵火，就是为了这个目的！
Alisa|那场火不是很快就被扑灭了吗。
Margo|而且，汉娜可是被勒着脖子挂在空中的。如果真的打算用高温杀人，根本没必要多此一举吧。
Nanoka|……樱羽艾玛。我建议你重新审视现场的客观状况再开始推理。
Ema|（得重新审视一遍才行……）
Ema|（要先考虑好证据再发言才行……！）
Ema|（有没有什么更符合现实的可能性呢？）
Ema|就像梅露露说的，现场一定发生了某种【震动】现象。
Meruru|确实房间里一片狼藉……如果从这个角度来思考的话……
Meruru|会不会是发生了【地震】……？
Ema|如果房间因地震剧烈摇晃，家具倒塌和人偶移位也就能说得通了。这或许就是导致——
Alisa|——等等！
Alisa|虽然地震确实可能导致房间一片混乱……
Alisa|但是你想啊……实验用的人偶是在地精之室被发现的吧。
Alisa|而远野的尸体，还有我们进行魔法实验的地点都在火精之室……
Alisa|就算真的发生了地震，这跟案件也扯不上什么关系吧？
Sherry|说到这个，我们真的确定那是同一个人偶吗？会不会只是长得相似的另一个人偶呢……
Margo|哎呀，这一点你们大可放心，因为我用颜料在人偶上做了标记。
Margo|那是我昨晚特意用招待所附近的花朵碾碎制成的颜料。……剩下的花就随手扔在那边了。
Margo|所以绝对不可能是相似的人偶……这毫无疑问是【同一个】人偶。
Nanoka|……这么说来，招待所前的石砖地面上确实留有类似血迹的痕迹呢。
Nanoka|原来那是宝生玛格做实验时用的颜料啊。
Ema|（这样啊……更新下笔记的内容吧）
|魔女图鉴更新…
Ema|（亚里沙的人偶为什么会移动……？这到底意味着什么……）
Sherry|……原来如此，我终于明白了！
Ema|雪莉……！？你想到什么了……！
Sherry|案件的真相！这都是多亏了艾玛！
Ema|欸欸……！？真的吗！？
Sherry|没错！关于汉娜究竟是如何死亡的……我这就为大家说明！
Sherry|汉娜她肯定从一开始就在火精之室。……很可能那时她已经被杀害，成为了一具尸体。
Alisa|你的意思是，我们在场的时候，那里就已经有尸体了！？
Sherry|没错！她一定是被藏在靠近天花板的地方。比如说架子上！
Margo|但是，昨天看守拍摄的录像里似乎什么都没有哦？
Sherry|肯定使用了某种手法。推理小说中，不是经常出现【镜子】之类的吗！
Sherry|一定是做了某种手脚，让摄像头拍不到。而且图像是可以随意修改的！另外，你们也有可能误入了别的房间。
Alisa|三个人一起搞错房间……！怎么可能啊……！
Sherry|是吗？那三个房间的内部布局不是完全一样吗。我觉得这完全有可能耶～
Sherry|总之，就这样，密室状态成立后的当晚……
Sherry|发生了地震！于是隐藏在天花板上的尸体掉了下来……挂在绑好的绳子上，就形成了尸体上吊的样子！
Alisa|怎么可能这么巧合地发生地震啊……！
Sherry|那说不定是可以人为制造的哦？比如地下水流动引起地壳变动之类的……当然也可能只是单纯的偶然！
Meruru|这么大的地震……其他人有可能注意不到吗……
Sherry|如果是局部的直下型地震的话，一瞬间就结束了，我觉得不能说完全不可能哦！
Nanoka|……假设真能制造出这种地震，那恐怕只有你能做到吧？用你那与生俱来的怪力魔法。
Sherry|……欸欸！？没想到会被这样怀疑，真是始料未及！
Sherry|那我还是收回这个推理吧！
Alisa|根本狗屁不通！
Ema|（雪莉的说法，乍一听似乎很有道理……）
Ema|（但是这样好像也解释不了亚里沙的人偶的事……）
Meruru|艾玛小姐……！让我们冷静下来，重新确认一下事实吧……！
Ema|（梅露露说得对，仔细检查一下记录的数据吧……！）
Choice|汉娜被藏起来了
|返回
Choice|图像被人掉包了
Choice|三个人搞错了房间
Choice|没有发生地震
Choice|摇晃不会让尸体掉落
Choice|不可能绳子刚好套脖子
Choice|发生了地壳变动
Ema|也许真如雪莉所说，用镜子就能把尸体藏起来……！
Alisa|房间里根本没有那种东西。
Alisa|假设拍摄时房间里有镜子的话……
Alisa|那到早上的时候，它应该还在那里才对。毕竟那个房间是密室……不是吗。
Ema|确、确实……
Alisa|能藏得下尸体那么大的镜子，没那么容易能找来，也不可能轻易从现场带走。
Alisa|……动动脑子好好想想，樱羽。
Ema|（被骂了一顿……！）
Ema|（但是雪莉的推理……总觉得哪里不对劲）
Ema|（从现场情况来看，雪莉的推理似乎存在矛盾……再仔细听听大家说的话吧……！）
Ema|如果修改图像的话，说不定能把汉娜的尸体完全隐藏起来……！
Nanoka|这确实有可能。
Ema|可可，你应该……对这门技巧很熟练吧？
Coco|啊！？你在怀疑我吗！？这也太无理取闹了吧！！
Coco|而且我根本不知道怎么修改看守摄像头的录像啊！
Alisa|……你是在说非法访问或黑客攻击之类的吗。但是只用手机应该很难做到吧？
Coco|对对！就像那个太妹说的！看吧，根本就是你在挑事！
Coco|没有根据就怀疑别人，说不定艾玛亲才是凶手吧！？
Ema|（受到怀疑了……！）
Ema|（不能没有根据就怀疑别人……）
Ema|（但是雪莉的推理……总觉得哪里不对劲）
Ema|（从现场情况来看，雪莉的推理似乎存在矛盾……再仔细听听大家说的话吧……！）
Ema|玛格她们搞错了房间，这是有可能的吧。
Margo|但是，我们三个人是一起的哦？
Margo|一个人还好说，三个人同时记错，这不太可能吧。
Sherry|一定是集体幻觉！你们做魔法实验时用了红色的花对吧？
Sherry|那说不定是有致幻作用的花呢？比如说红色的罂粟花？
Margo|哎呀，那个作用成分不是从花，而是从果实里提取的哦。光是摘花的话……你说对吧？
Ema|（你问我我问谁……！）
Margo|要是真的看到了什么幻觉还好说，但我们什么都没看到啊。
Margo|而且，看一下看守的摄像头录像就知道我们没有进错房间了。
Margo|怎么样艾玛？你还要怀疑我们吗？
Ema|呃……那个……！
Alisa|……别随便就说别人嗑大了啊。
Ema|（我、我不是那个意思……！）
Ema|（但是雪莉的推理……总觉得哪里不对劲）
Ema|（从现场情况来看，雪莉的推理似乎存在矛盾……再仔细听听大家说的话吧……！）
Ema|等一下，雪莉！尸体不可能那么轻易就掉下来吧。
Sherry|一定是凑巧成功了，肯定是这样！
Coco|关键部分也太含糊了吧。
Margo|如果按照雪莉的推理，凶手似乎是个计划周密的人呢。
Margo|说不定凶手事先计算好了怎样掉落，精心摆好了汉娜尸体的所在位置。
Nanoka|……这么一来，也不至于全盘否定这个观点。
Ema|（看来要反对这一点，说服力还不够……！）
Ema|（但是雪莉的推理……总觉得哪里不对劲）
Ema|（从现场情况来看，雪莉的推理似乎存在矛盾……再仔细听听大家说的话吧……！）
Ema|就算尸体被藏起来了，还发生了晃动……真的能刚刚好弄出上吊的状态吗？
Alisa|为什么不能啊？
Ema|我在想，绳子在其他情况下会不会跟尸体缠在一起，或者因为冲击断掉……
Sherry|汉娜看起来很轻呢，我觉得绳子不会那么容易断掉哦。
Margo|或者，凶手原本是想制造出另一种状态，只是恰好变成了现在这个状态，实际上凶手本来打算让我们发现完全不同的场景……
Margo|不过，我们也没办法验证凶手的真实想法就是了。
Nanoka|樱羽艾玛。……你的反驳，似乎缺乏依据呢。
Ema|（其他人好像都这样想……！）
Ema|（但是雪莉的推理……总觉得哪里不对劲）
Ema|（从现场情况来看，雪莉的推理似乎存在矛盾……再仔细听听大家说的话吧……！）
Ema|也许真的发生了地壳变动……！
Margo|就算发生了地壳变动，你要怎么证明呢？
Ema|呃……地形有变化之类的……土地隆起啊，或者地面裂缝什么的……
Alisa|根本没看到那种情况吧。
Margo|而且如果震源很深的话，地表上可能根本不会有影响。
Margo|就算真的发生了地壳变动……如果无法证明的话，就等于什么都没说哦？艾玛。
Ema|（被当成什么都没说了……！）
Ema|（但是雪莉的推理……总觉得哪里不对劲）
Ema|（从现场情况来看，雪莉的推理似乎存在矛盾……再仔细听听大家说的话吧……！）
Ema|雪莉，我觉得你的推理和现场的情况有矛盾。
Sherry|欸欸！？哪里矛盾了！？
Ema|（昨天，现场并没有发生地震……应该有证据可以证明这一点！）
Ema|证据……就是这个！
Sherry|这怎么能证明没有发生地震呢？
Sherry|难道艾玛……你不知道什么是地震！？
Ema|（我当然知道……！）
Ema|（雪莉在以发生地震为前提进行推理……但是应该有证物可以否定这一点！）
Ema|（这恐怕算不上直接证据……得拿出更具体的证据才行……！）
Ema|（雪莉在以发生地震为前提进行推理……但是应该有证物可以否定这一点！）
Ema|雪莉，我想请你看看这个雕像。
Sherry|做工真是精致！光是看着就让人感到不安！
Ema|不，我不是想让你评价雕像的做工……
Ema|这个雕像是每间招待所里都有的。……但是，它与你刚才的解释存在矛盾。
Sherry|矛盾？哪里矛盾了？
Ema|……只有水精之室的雕像没有倒下。
Ema|如果真的发生了地震，招待所里的雕像应该全都会倒下才对吧？
Sherry|是这样吗？也许只是碰巧没倒呢？
Ema|……不，我不这么认为。你看，这个典狱长的雕像，重心很不稳定……
Ema|而且，其他家具也都摆放得很整齐。
Ema|再说，水精之室是夹在其他两个房间中间的。
Ema|两边的房间里家具都乱七八糟的，唯独中间的房间还是整整齐齐的……
Ema|如果真的发生了地震，这种情况就太不自然了。
Sherry|原来如此～！不愧是艾玛！你说得确实有道理！
Alisa|……喂，我说樱羽，这到底是怎么一回事？
Alisa|昨天晚上……究竟发生了什么啊！
Ema|（汉娜身上发生的事……到目前为止讨论得出的结论……监牢的谜团……决定性的矛盾……）
Ema|（感觉真相近在眼前……！昨晚，那个房间里到底发生了什么……！）
Meruru|……艾玛小姐，我们不如将至今为止的讨论做个总结吧？
Meruru|说不定还存在一些我们还没听大家讲过的信息……
Ema|嗯……！说得对，梅露露！我们来梳理一下吧！
Ema|昨晚，在玛格她们离开后，招待所被上了锁……
Ema|也就是说，三间房子都处于密室状态，对吧？
Margo|是的，没错。
Margo|那时候房间里没有弄乱，而且也没有发现尸体。
Ema|然后晚上发生了奈叶香和雪莉的争执……当时只听到【1声】爆裂声，而且是枪声。
Nanoka|……没错。地点在仓库，我可以确定。
Ema|之后……亚里沙在凌晨【2点】也听到了声响。这个声音的来源我们还没有弄清楚吧。
Meruru|而且这声音很难用地震解释……讨论的结果应该是这样没错。
Meruru|如果是地震的话，水精之室也会摇晃，家具也会倒下才对……结果密室的谜团还是没有解开呢……
Sherry|不如我们考虑一下【其实根本没有密室】这种可能性？首先，锁真的锁好了吗？……会不会是被人撬开了呢？
Ema|但是早上的时候门锁应该是锁着的才对。就算凶手能打开锁进入……也需要重新锁上。
Coco|话说，有没可能房间本来就动过手脚啊？比如房间里其实有某种机关～
Alisa|你是说有我们没发现的暗道吗？但我们已经彻底搜查过了。房间本身就是再普通不过的房间。
Margo|谁知道呢？也许是昨晚的实验导致意外打开不该连通的世界之门了呢？
Ema|……总之，早上发生了火灾，然后尸体被发现了。起火点在火精之室的外面……
Alisa|……嗯，没错。经我调查，火灾是外部纵火引起的。
Nanoka|而我们因火灾而匆忙来到了现场…………当然，事件发生后没有人从房间里出来。
Nanoka|……除了被害人远野汉娜。
Ema|（这就是昨天发生的事……乍看之下，似乎是一起谁都无法实施的密室杀人案……）
Meruru|艾玛小姐……！也许其中还有我们不知道的情报……
Meruru|如果现在还无法弄清事件的真相……不如再听听大家的说法吧！
Choice|房间很凌乱
|返回
Choice|房间里存在尸体
Choice|不在仓库
Choice|水精之室的家具被固定了
Choice|忘记上锁了
Choice|锁被打开了
Choice|有通向外面的路
Choice|火精之室是特殊的房间
Choice|什么魔法实验？
Choice|起火原因具体是？
Choice|有人出来了
Choice|被害人不是汉娜
Ema|你说的魔法实验……到底做了些什么？
Margo|其实没什么特别的，只是按照书上的内容实践了一下而已。
Margo|一种促进魔法成长的术式……通过杀死少女，让她成长为魔女。
Ema|什么！？那岂不是……！？
Margo|……别紧张，我们只是【模拟】了那个仪式罢了。
Margo|为了模拟亚里沙的死亡，我准备了【亚里沙的人偶】和【红色染料】。
Ema|红色染料？
Margo|没错。本来想用真血的……但被拒绝了呢。
Alisa|谁会同意啊……！
Margo|所以，我就摘来附近的花朵，捣碎后做了些染料。
Margo|仪式内容很简单。我用染料把亚里沙的人偶染红，然后用针刺进了它的胸口。
Coco|这不就是诅咒人偶吗。
Margo|哎呀，我可是特意选了一个即使出了意外，对其他人影响也很小的地方进行的哦。……虽然最后还是没有成功。
Alisa|也该考虑下对我的影响吧。
Ema|影响很小的地方……你是指火精之室吧？
Margo|没错。你看手机上的魔女图鉴，上面显示的招待所的位置不是被离监牢很远吗？
Ema|确实，这样的话就算发生爆炸，也不太可能波及到其他人……
Alisa|我们可是实打实地被牵扯进实验了啊……
Ema|起火原因到底是什么呢？
Alisa|具体还不能完全确定……但发现了绳子和蜡烛燃烧的痕迹。
Alisa|可以肯定的是，火是【从外面】点燃的。如果凶手在里面，反而不可能放火。
Ema|如果杀人犯和纵火犯是同一个人的话……也许连凶手也无法进入房间。
Alisa|对。
Alisa|另外……这次纵火很可能只针对招待所。
Alisa|从结构上看，招待所和监牢并不相连……周围也没有其他建筑。地图上招待所周围什么都没标注。
Alisa|总结一下……几乎可以确定是蓄意纵火。
Alisa|至于时间……不清楚具体是什么时候点火的。但是有蜡烛的话，想怎么点就怎么点。
Alisa|顺便说一下，我也有几根蜡烛……仓库里随便拿。
Alisa|……大致情况就是这样。
Ema|太厉害了……！谢谢你，亚里沙！这些信息非常有价值！
Ema|有没可能【房间本来就很凌乱】呢？
Margo|这一点应该已经通过看守的摄像头证实了。艾玛你也看过录像，不是吗？
Ema|可是，也有可能是在拍摄之后被弄乱的……！
Alisa|怎么换啊。
Ema|那个……比如说关门的冲击力，砰的一声！……之类的？
Alisa|那得是多大的冲击力啊。
Coco|艾玛亲，你这说法也太牵强了吧？
Ema|（被认为说法太牵强了……！）
Ema|（为了跟进大家掌握的情报，我还是应该仔细地和大家确认事实才行……）
Ema|（说不定，在讨论中会发现一些我们之前忽略的重要线索……！）
Ema|会不会从一开始房间里就有尸体呢？
